Line #,Reward Date,Investment Amount,Reward Amount,Total Reward Amount till that date,Staking Reward Rate
1,2024-04-23,25.000000,0.000000,0.000000,10.00%
2,2024-05-23,25.205479,0.205479,0.205479,10.00%
3,2024-06-23,25.419553,0.214074,0.419553,10.00%
4,2024-07-23,25.628481,0.208928,0.628481,10.00%
5,2024-08-23,25.846148,0.217667,0.846148,10.00%
6,2024-09-23,26.065663,0.219515,1.065663,10.00%
7,2024-10-23,26.279901,0.214238,1.279901,10.00%
8,2024-11-23,26.503100,0.223199,1.503100,10.00%
9,2024-12-23,26.720934,0.217834,1.720934,10.00%
10,2025-01-23,26.947879,0.226945,1.947879,10.00%
11,2025-02-23,27.176751,0.228872,2.176751,10.00%
12,2025-03-23,27.385230,0.208479,2.385230,10.00%
13,2025-04-23,27.617817,0.232587,2.617817,10.00%
14,2025-05-23,27.844813,0.226996,2.844813,10.00%
15,2025-06-23,28.081303,0.236490,3.081303,10.00%
16,2025-07-23,28.312108,0.230805,3.312108,10.00%
17,2025-08-23,28.552567,0.240459,3.552567,10.00%
18,2025-09-23,28.795068,0.242501,3.795068,10.00%
19,2025-10-23,29.031740,0.236672,4.031740,10.00%
20,2025-11-23,29.278311,0.246571,4.278311,10.00%
21,2025-12-23,29.518955,0.240644,4.518955,10.00%
22,2026-01-23,29.769664,0.250709,4.769664,10.00%
23,2026-02-23,30.022502,0.252838,5.022502,10.00%
24,2026-03-23,30.252812,0.230310,5.252812,10.00%
